@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/TH-1342036-4840,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-01T00:07:00,Samp Freq,Sampling Frequency,4840,"",24,"",no/ann,FINAL SEWAGE EFFLUENT,true,WATER QUALITY UWWTD MONITORING DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1342036-4842,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-01T00:07:00,PE - Calc,Population Equivalent - Calculated,4842,"",85698,"",unitless,FINAL SEWAGE EFFLUENT,true,WATER QUALITY UWWTD MONITORING DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1342169-0092,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-07T10:33:00,COD as O2,Chemical Oxygen Demand :- {COD},0092,"",59.5,"",mg/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY UWWTD MONITORING DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1342169-0348,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-07T10:33:00,Phosphorus-P,"Phosphorus, Total as P",0348,"",1.26,"",mg/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY UWWTD MONITORING DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1342169-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-07T10:33:00,BOD ATU,BOD : 5 Day ATU,0085,"",7.6,"",mg/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY UWWTD MONITORING DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1322325-6051,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-25T13:25:00,Iron - as Fe,Iron,6051,"",1838.5,"",ug/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1322325-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-25T13:25:00,Sld Sus@105C,"Solids, Suspended at 105 C",0135,"",15,"",mg/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1322325-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-25T13:25:00,BOD ATU,BOD : 5 Day ATU,0085,"",4.3,"",mg/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1322325-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-25T13:25:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,<,0.13,"",mg/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1322325-6057,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-25T13:25:00,Aluminium-Al,Aluminium,6057,"",50.7,"",ug/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1342170-0092,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-26T11:44:00,COD as O2,Chemical Oxygen Demand :- {COD},0092,"",49.1,"",mg/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY UWWTD MONITORING DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1342170-0348,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-26T11:44:00,Phosphorus-P,"Phosphorus, Total as P",0348,"",1.37,"",mg/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY UWWTD MONITORING DATA,501520,168030
http://environment.data.gov.uk/water-quality/data/measurement/TH-1342170-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PBNE0009,TH-PBNE0009,CHERTSEY STW,2020-01-26T11:44:00,BOD ATU,BOD : 5 Day ATU,0085,"",5.2,"",mg/l,FINAL SEWAGE EFFLUENT,true,WATER QUALITY UWWTD MONITORING DATA,501520,168030
